Scenario,Spawn Rate,Control Method,Num Runs,Mean Wait (s),Std Wait (s),Min Wait (s),Max Wait (s),CI95 Wait (s),Mean Max Wait (s),Std Max Wait (s),Mean Queue,Std Queue,Min Queue,Max Queue,CI95 Queue,Mean Max Queue,Std Max Queue,Mean Cars Spawned
High Traffic,1,Fixed Switch,50,6.8876,0.1553,6.5962,7.2238,0.0430,21.2760,0.6226,5.7912,0.2963,5.0413,6.6355,0.0821,18.0000,0.0000,1390.02
High Traffic,1,Q-Learning,50,7.7367,0.2723,7.1293,8.4273,0.0755,22.7260,2.1309,4.9942,0.3672,4.1872,5.7680,0.1018,17.9000,0.3030,1294.14
High Traffic,1,Contextual Q-Learning,50,22.2077,2.2018,18.5107,26.8823,0.6103,199.4480,0.1717,1.5306,0.0112,1.5152,1.5408,0.0031,14.0000,0.0000,766.26
Medium-High,2,Fixed Switch,50,5.5710,0.1454,5.1466,5.8629,0.0403,18.3760,0.8083,5.1131,0.4280,4.2401,6.2951,0.1186,18.0000,0.0000,1258.22
Medium-High,2,Q-Learning,50,6.5115,0.3699,5.7770,7.4058,0.1025,20.6680,1.7792,4.3574,0.2681,3.7339,4.7780,0.0743,15.8400,1.0759,1263.84
Medium-High,2,Contextual Q-Learning,50,6.3344,0.2734,5.7960,7.0492,0.0758,19.5880,1.7993,4.4445,0.2652,3.9141,5.0232,0.0735,14.9000,0.7354,1278.60
Medium,5,Fixed Switch,50,3.0298,0.1231,2.7694,3.2615,0.0341,11.3560,0.3418,2.6085,0.2412,2.0046,3.0847,0.0668,8.7800,0.7900,718.10
Medium,5,Q-Learning,50,1.8267,0.0930,1.6089,1.9924,0.0258,7.4080,0.9525,1.7697,0.1978,1.3320,2.5288,0.0548,6.6000,0.8571,730.48
Medium,5,Contextual Q-Learning,50,1.7303,0.0644,1.5986,1.8528,0.0179,6.8060,0.8006,1.6912,0.1786,1.3799,2.1803,0.0495,6.2600,0.5997,732.18
Low Traffic,10,Fixed Switch,50,2.5492,0.1094,2.3479,2.8127,0.0303,10.8880,0.3921,1.6622,0.2824,1.2317,2.3300,0.0783,5.5000,0.6145,366.40
Low Traffic,10,Q-Learning,50,1.4479,0.0688,1.2751,1.5840,0.0191,6.0800,0.4385,1.2369,0.1493,0.9400,1.5592,0.0414,3.9200,0.5657,365.88
Low Traffic,10,Contextual Q-Learning,50,1.2567,0.0620,1.0695,1.3757,0.0172,4.8520,0.2859,1.0872,0.1978,0.6483,1.5108,0.0548,3.6400,0.5253,366.46
Fluctuating,fluctuating,Fixed Switch,50,4.6923,0.1445,4.3503,5.1306,0.0400,19.7040,1.1974,2.5830,0.3344,1.9766,3.5336,0.0927,18.0000,0.0000,878.10
Fluctuating,fluctuating,Q-Learning,50,4.7480,0.2901,4.0485,5.5209,0.0804,18.6780,1.7975,1.7840,0.1888,1.4052,2.2438,0.0523,17.2000,1.0302,882.70
Fluctuating,fluctuating,Contextual Q-Learning,50,5.1356,0.2932,4.4729,5.7455,0.0813,45.4680,5.2877,1.6808,0.2251,1.1762,2.3507,0.0624,14.5800,0.8352,922.64
